1.00000000E-05	-7.35546060E+02	-6.85561920E+02	-6.33691280E+02	-5.79611540E+02	-5.22888980E+02	-4.62914410E+02	-3.98779730E+02	-3.29010000E+02	-2.50860550E+02	-1.57720750E+02	-3.99547920E+00
2.00000000E-05	-4.63389690E+02	-4.31868090E+02	-3.99158430E+02	-3.65057560E+02	-3.29292420E+02	-2.91479490E+02	-2.51047130E+02	-2.07067050E+02	-1.57812290E+02	-9.91260190E+01	-3.87365180E+00
3.00000000E-05	-3.53651380E+02	-3.29574840E+02	-3.04591900E+02	-2.78547610E+02	-2.51233710E+02	-2.22357700E+02	-1.91483660E+02	-1.57903840E+02	-1.20301900E+02	-7.55114060E+01	-3.79967740E+00
4.00000000E-05	-2.91948340E+02	-2.72058320E+02	-2.51420290E+02	-2.29906430E+02	-2.07344890E+02	-1.83494400E+02	-1.57995380E+02	-1.30264130E+02	-9.92153610E+01	-6.22400310E+01	-3.74588040E+00
5.00000000E-05	-2.51606870E+02	-2.34454210E+02	-2.16657130E+02	-1.98105530E+02	-1.78651390E+02	-1.58086920E+02	-1.36102500E+02	-1.12195550E+02	-8.54319490E+01	-5.35674360E+01	-3.70336130E+00
6.00000000E-05	-2.22822040E+02	-2.07622730E+02	-1.91852930E+02	-1.75415170E+02	-1.58178470E+02	-1.39958920E+02	-1.20482540E+02	-9.93047030E+01	-7.55992000E+01	-4.73823020E+01	-3.66808590E+00
7.00000000E-05	-2.01071310E+02	-1.87348140E+02	-1.73110340E+02	-1.58270010E+02	-1.42709030E+02	-1.26261550E+02	-1.08680550E+02	-8.95651920E+01	-6.81708630E+01	-4.27108980E+01	-3.63787250E+00
8.00000000E-05	-1.83955150E+02	-1.71393680E+02	-1.58361550E+02	-1.44778390E+02	-1.30536200E+02	-1.15483360E+02	-9.93940430E+01	-8.19019050E+01	-6.23265910E+01	-3.90366570E+01	-3.61140430E+00
9.00000000E-05	-1.70072230E+02	-1.58453090E+02	-1.46398970E+02	-1.33835590E+02	-1.20663170E+02	-1.06741630E+02	-9.18623600E+01	-7.56869920E+01	-5.75873230E+01	-3.60579370E+01	-3.58782330E+00
1.00000000E-04	-1.58544640E+02	-1.47708020E+02	-1.36466050E+02	-1.24749520E+02	-1.12465460E+02	-9.94833820E+01	-8.56089780E+01	-7.05271250E+01	-5.36529510E+01	-3.35857880E+01	-3.56653900E+00
2.00000000E-04	-9.99300620E+01	-9.30738470E+01	-8.59630190E+01	-7.85542070E+01	-7.07891750E+01	-6.25862530E+01	-5.38239700E+01	-4.43056770E+01	-3.36674940E+01	-2.10438420E+01	-3.42174410E+00
3.00000000E-04	-7.63014890E+01	-7.10512050E+01	-6.56071880E+01	-5.99365070E+01	-5.39949750E+01	-4.77206750E+01	-4.10216250E+01	-3.37491920E+01	-2.56292100E+01	-1.60141810E+01	-3.33286930E+00
4.00000000E-04	-6.30189720E+01	-5.86721930E+01	-5.41659650E+01	-4.94732440E+01	-4.45577640E+01	-3.93687530E+01	-3.38308810E+01	-2.78226490E+01	-2.11206830E+01	-1.32014940E+01	-3.26774570E+00
5.00000000E-04	-5.43369420E+01	-5.05812220E+01	-4.66885020E+01	-4.26355970E+01	-3.83914360E+01	-3.39125600E+01	-2.91345700E+01	-2.39538020E+01	-1.81803260E+01	-1.13727000E+01	-3.21596550E+00
6.00000000E-04	-4.81435390E+01	-4.48098030E+01	-4.13551110E+01	-3.77590380E+01	-3.39942310E+01	-3.00224680E+01	-2.57871810E+01	-2.11975010E+01	-1.60875390E+01	-1.00751450E+01	-3.17279020E+00
7.00000000E-04	-4.34647210E+01	-4.04500370E+01	-3.73265390E+01	-3.40758930E+01	-3.06735650E+01	-2.70853030E+01	-2.32604850E+01	-1.91179600E+01	-1.45101480E+01	-9.10031170E+00	-3.13564880E+00
8.00000000E-04	-3.97837240E+01	-3.70202580E+01	-3.41575460E+01	-3.11789070E+01	-2.80620300E+01	-2.47758010E+01	-2.12742950E+01	-1.74840550E+01	-1.32720210E+01	-8.33771360E+00	-3.10298460E+00
9.00000000E-04	-3.67987740E+01	-3.42391900E+01	-3.15881350E+01	-2.88302680E+01	-2.59450910E+01	-2.29040420E+01	-1.96650250E+01	-1.61608570E+01	-1.22703540E+01	-7.72290930E+00	-3.07378110E+00
1.00000000E-03	-3.43208250E+01	-3.19306330E+01	-2.94554350E+01	-2.68810100E+01	-2.41883650E+01	-2.13510680E+01	-1.83302150E+01	-1.50638660E+01	-1.14407850E+01	-7.21558020E+00	-3.04733680E+00
2.00000000E-03	-2.17345950E+01	-2.02080550E+01	-1.86296290E+01	-1.69908570E+01	-1.52805360E+01	-1.34832520E+01	-1.15767150E+01	-9.52646050E+00	-7.27419360E+00	-4.71701960E+00	-2.86514680E+00
3.00000000E-03	-1.66730060E+01	-1.54968140E+01	-1.42823250E+01	-1.30234810E+01	-1.17123400E+01	-1.03381450E+01	-8.88571190E+00	-7.33259910E+00	-5.64495810E+00	-3.81405540E+00	-2.75114340E+00
4.00000000E-03	-1.38341940E+01	-1.28561900E+01	-1.18476710E+01	-1.08039770E+01	-9.71908300E+00	-8.58499110E+00	-7.39080760E+00	-6.12159810E+00	-4.76033770E+00	-3.39461010E+00	-2.66643090E+00
5.00000000E-03	-1.19827200E+01	-1.11350910E+01	-1.02621340E+01	-9.36014020E+00	-8.42439800E+00	-7.44882920E+00	-6.42559160E+00	-5.34536500E+00	-4.20603640E+00	-3.16050370E+00	-2.59830620E+00
6.00000000E-03	-1.06647780E+01	-9.91075840E+00	-9.13518900E+00	-8.33506840E+00	-7.50667340E+00	-6.64539440E+00	-5.74579500E+00	-4.80329710E+00	-3.83109880E+00	-3.00560260E+00	-2.54094700E+00
7.00000000E-03	-9.67119170E+00	-8.98835890E+00	-8.28689130E+00	-7.56434910E+00	-6.81780060E+00	-6.04383600E+00	-5.23905810E+00	-4.40326840E+00	-3.56466000E+00	-2.89126690E+00	-2.49117690E+00
8.00000000E-03	-8.89105730E+00	-8.26460550E+00	-7.62186460E+00	-6.96085860E+00	-6.27931940E+00	-5.57486540E+00	-4.84592290E+00	-4.09654380E+00	-3.36714980E+00	-2.80090540E+00	-2.44706400E+00
9.00000000E-03	-8.25964940E+00	-7.67922790E+00	-7.08446400E+00	-6.47377800E+00	-5.84547710E+00	-5.19809290E+00	-4.53174340E+00	-3.85459100E+00	-3.21474800E+00	-2.72619460E+00	-2.40734190E+00
1.00000000E-02	-7.73644620E+00	-7.19449830E+00	-6.63986300E+00	-6.07130760E+00	-5.48765120E+00	-4.88825760E+00	-4.27484360E+00	-3.65934160E+00	-3.09282680E+00	-2.66244480E+00	-2.37113340E+00
1.50000000E-02	-6.04213830E+00	-5.62770770E+00	-5.20634090E+00	-4.77811170E+00	-4.34383260E+00	-3.90621960E+00	-3.47308470E+00	-3.06412130E+00	-2.71156410E+00	-2.43480610E+00	-2.22529030E+00
